country	count (lifetime until 2016-11-16T08:00:00+0000)
DE	10
RU	1
TZ	1
HR	1
YE	1
HU	1
BO	1
BR	1
GB	6
US	1
CA	1
CD	1
EG	1
AE	1
CH	5
MT	1
IR	1
CN	1
GR	1
IT	1255
CO	1
ES	2
VE	1
AR	2
AU	1
PL	1
