day	posts	likes	reactions	comments	shares
2016-10-04	2	26	26	4	0
2016-10-05	2	9	9	2	0
2016-10-06	3	63	64	18	0
2016-10-07	1	0	0	0	0
2016-10-08	1	0	0	0	0
2016-10-09	0	0	0	0	0
2016-10-10	0	0	0	0	0
2016-10-11	1	0	0	1	0
2016-10-12	2	0	0	0	0
2016-10-13	0	0	0	0	0
2016-10-14	2	16	16	8	0
2016-10-15	0	0	0	0	0
2016-10-16	1	0	0	0	0
2016-10-17	3	60	60	16	52
2016-10-18	1	6	6	1	5
2016-10-19	1	1	1	0	5
2016-10-20	0	0	0	0	0
2016-10-21	0	0	0	0	0
2016-10-22	0	0	0	0	0
2016-10-23	0	0	0	0	0
2016-10-24	0	0	0	0	0
2016-10-25	2	0	0	0	0
2016-10-26	2	20	21	34	3
2016-10-27	1	0	0	0	0
2016-10-28	1	1	1	3	0
2016-10-29	2	29	31	23	6
2016-10-30	0	0	0	0	0
2016-10-31	0	0	0	0	0
2016-11-01	1	0	0	0	0
2016-11-02	0	0	0	0	0
2016-11-03	2	14	14	6	11
2016-11-04	0	0	0	0	0
2016-11-05	2	1	1	0	0
2016-11-06	0	0	0	0	0
2016-11-07	2	32	33	13	4
2016-11-08	0	0	0	0	0
2016-11-09	0	0	0	0	0
2016-11-10	1	0	0	0	0
2016-11-11	2	33	33	1	0
2016-11-12	1	16	16	9	4
2016-11-13	0	0	0	0	0
2016-11-14	4	60	60	34	35
2016-11-15	0	0	0	0	0
2016-11-16	1	1	1	1	0
2016-11-17	4	0	0	0	0
2016-11-18	2	0	0	0	0
