type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
status	post_user_514130915309733	514130915309733_1248647878524696	https://www.facebook.com/514130915309733/posts/1248647878524696	SIIIIII					2016-11-18T07:46:49+0000	1479455209	2016-11-18 08:46:49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_514130915309733	514130915309733_1248647371858080	https://www.facebook.com/514130915309733/posts/1248647371858080	SIIIIIII					2016-11-18T07:45:39+0000	1479455139	2016-11-18 08:45:39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_514130915309733	514130915309733_1247962778593206	https://www.facebook.com/514130915309733/posts/1247962778593206	Una considerazione molto semplice ma che rende bene l idea...chi comanda attualmente l Europa (sistema bancario  finanza internazionale  multinazionali...) ha messo dei fantocci a governare (Monti  Letta  Renzi)  ADDIRITTURA SENZA ALCUN VOTO QUESTA VOLTA; a loro volta i fantocci che con la loro arroganza fingono di comandare  propongono niente meno che di modificare la costituzione...ora secondo voi chi è che ha interessi nel modificare la costituzione??? Renzi e la sua cricca  o chi ce li ha messi  ovvero chi ha come unico scopo quello di arricchirsi e accrescere il potere di queste organizzazioni criminali??? Riflettete gente!					2016-11-17T15:33:44+0000	1479396824	2016-11-17 16:33:44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_514130915309733	514130915309733_1247804395275711	https://www.facebook.com/514130915309733/posts/1247804395275711	IO VOTO SI  FATELO ANCHE VOI SE VOGLIAMO CAMBIARE QUALCOSA					2016-11-17T13:28:32+0000	1479389312	2016-11-17 14:28:32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_514130915309733	514130915309733_1247803595275791	https://www.facebook.com/514130915309733/posts/1247803595275791	IO VOTO  (( SI )) PERCHE  VOGLIO CAMBIARE L ITALIA ....					2016-11-17T13:26:31+0000	1479389191	2016-11-17 14:26:31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_514130915309733	514130915309733_1247743148615169	https://www.facebook.com/514130915309733/posts/1247743148615169	Quando a Dicembre ci sarà il referendum sulla legge che modificherà il parlamento (detta da me  La legge dei 100 intoccabili ) ricordatevi che: - il referendum é senza quorum ( quindi sarà valido qualunque sia il numero di votanti  non come l ultimo....porcata n 1). - Il numero dei senatori scenderà da 315 a 100 unità (magra consolazione visto che questa cosa nasconde il trucchetto). - 95 senatori saranno scelti dai consigli regionali di cui 21 dovranno essere sindaci  uno per ogni regione  5 saranno scelti direttamente dal Presidente della Repubblica  resteranno in carica 7 anni (Porcata n 2  abbiamo perso il diritto di votare i nostri rappresentanti al Senato  i partiti sceglieranno tra i loro indagati quali salvare nominandoli Senatori perché è sicuro che le procedure per le nomine saranno lasciate ai consiglieri regionali e non come si dice ai cittadini). - I Senatori conserveranno e godranno dell immunità parlamentare (porcata n 3  che te lo dico a fare).  - La Camera dei Deputati sarà l unica a proporre ed approvare le leggi (Non ci sarà più la supervisione democratica del Senato ed il governo si potrà approvare le leggi che gli fanno comodo in brevissimo tempo).  - Il Senato potrà proporre delle modifiche alle leggi in discussione in parlamento ma quest ultime potranno anche essere ignorate. Interverrà solo sulle riforme e sulle leggi costituzionali (che si fanno ogni morte di Papa).  - Il Senato non avrà più il potere di togliere e mettere la fiducia al governo ( Ottima notizia  non ci saranno più senatori da comprare). - Il Presidente della Repubblica non potrà più sciogliere il Senato (di fatto i Senatori resteranno per 7 anni intoccabili... Porcatona n 4). - Il Senato si occuperà di enti locali e di politiche comunitarie (come a dire che non faranno un cazzo).  - Siccome i Senatori non saranno votati tutti insieme ogni 7 anni ma a seconda delle elezioni regionali non si avrà mai un Senato unico ma mutevole nel tempo (e scommettiamo che ogni volta che serve un posto in Senato per un Consigliere indagato ci sarà qualcuno che si dimette?).  - In conclusione BRAVI!!! BRAVI!!! Vi siete studiati una riforma del Senato con i fiocchi.... Complimentoni!!!!  E voi avete anche il coraggio di fare un comitato per il SÌ??? Assurdo!!!					2016-11-17T11:34:33+0000	1479382473	2016-11-17 12:34:33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_514130915309733	514130915309733_1246787778710706	https://www.facebook.com/514130915309733/posts/1246787778710706	Si sto cazzo 🖕🏻🇮🇹					2016-11-16T11:00:53+0000	1479294053	2016-11-16 12:00:53	1	1	1	0	2	1	1	0	1	0	1	0	0	0	0	0	0
link	post_user_514130915309733	514130915309733_1482118251818268	https://www.facebook.com/514130915309733/posts/1482118251818268	Costituzione  la gaffe di Di Battista: approvata a suffragio universale nel 1948 http://www.termometropolitico.it/1235469_costituzione-gaffe-di-battista-approvata-a-suffragio-universale-1948.html  Fate girare!	https://external.xx.fbcdn.net/safe_image.php?d=AQDcRKpTXnWTJdPL&w=130&h=130&url=http%3A%2F%2Fwww.termometropolitico.it%2Fmedia%2F2015%2F08%2FM5S_Roma_Di_Battista.jpg&cfs=1&sx=87&sy=0&sw=398&sh=398	https://external.xx.fbcdn.net/safe_image.php?d=AQCuMnLZ9Pu5-Ydw&url=http%3A%2F%2Fwww.termometropolitico.it%2Fmedia%2F2015%2F08%2FM5S_Roma_Di_Battista.jpg	http://www.termometropolitico.it/1235469_costituzione-gaffe-di-battista-approvata-a-suffragio-universale-1948.html	termometropolitico.it	2016-11-14T17:45:01+0000	1479145501	2016-11-14 18:45:01	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
video	post_page_514130915309733	514130915309733_1245290912193726	https://www.facebook.com/514130915309733/posts/1245290912193726	SI al referendum shared Bergamonews s live video.	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14992264_10154219865913212_6376747681062060032_n.jpg?oh=ee11fbfacf09f92fbe95983d040056cf&oe=58BFDE2F	https://scontent.xx.fbcdn.net/v/t15.0-10/14992264_10154219865913212_6376747681062060032_n.jpg?oh=1136c1257207527287e93ce768c5bbb3&oe=58BC5894	https://www.facebook.com/Bergamonews/videos/10154219725213212/	facebook.com	2016-11-14T15:40:27+0000	1479138027	2016-11-14 16:40:27	10	4	10	0	14	4	2	2	0	0	10	0	0	0	0	0	0
link	post_page_514130915309733	514130915309733_1245124032210414	https://www.facebook.com/514130915309733/posts/1245124032210414	SI al referendum shared a link.	https://external.xx.fbcdn.net/safe_image.php?d=AQCSUe_M0b6ImJ8c&w=130&h=130&url=http%3A%2F%2Fi.cdn-lk.it%2Fblobs%2Fvariants%2F2%2Fa%2F6%2F9%2F2a69748c-b01b-4f2d-a004-54ee79762046_large.jpg%3F_636147124414683456&cfs=1&sx=84&sy=0&sw=500&sh=500	https://external.xx.fbcdn.net/safe_image.php?d=AQC-916AuKKCTjkO&url=http%3A%2F%2Fi.cdn-lk.it%2Fblobs%2Fvariants%2F2%2Fa%2F6%2F9%2F2a69748c-b01b-4f2d-a004-54ee79762046_large.jpg%3F_636147124414683456	http://www.linkiesta.it/it/article/2016/11/14/referendum-perche-votare-si-senza-essere-renziani/32367/	linkiesta.it	2016-11-14T13:25:51+0000	1479129951	2016-11-14 14:25:51	50	29	50	35	114	29	10	19	11	0	50	0	0	0	0	0	0
video	post_user_514130915309733	514130915309733_10210123065689591	https://www.facebook.com/514130915309733/posts/10210123065689591	Voteranno SI anche loro	https://external.xx.fbcdn.net/safe_image.php?d=AQBGdhx2OxBofYnf&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FookGv44MMd4%2Fmaxresdefault.jpg&cfs=1&sx=153&sy=0&sw=720&sh=720	https://external.xx.fbcdn.net/safe_image.php?d=AQAZcZVkMV1DPZiU&w=720&h=720&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FookGv44MMd4%2Fmaxresdefault.jpg&cfs=1&sx=153&sy=0&sw=720&sh=720	https://www.youtube.com/watch?v=ookGv44MMd4	youtube.com	2016-11-14T10:23:59+0000	1479119039	2016-11-14 11:23:59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_page_514130915309733	514130915309733_1242820782440739	https://www.facebook.com/514130915309733/posts/1242820782440739	@matteorenzi a Bergamo	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/15032282_1242820782440739_4912144219637353208_n.jpg?oh=cb2f46da6700c84b96b5c247b0cfd15e&oe=58CBC6F3	https://scontent.xx.fbcdn.net/v/t1.0-0/p480x480/15032282_1242820782440739_4912144219637353208_n.jpg?oh=7eee8cd2e5f30054a53e998d3f98dc51&oe=58C05783	https://www.facebook.com/AdessoRenziPerIlNostroFuturo/photos/a.514135381975953.1073741828.514130915309733/1242820782440739/?type=3	facebook.com	2016-11-12T12:26:34+0000	1478953594	2016-11-12 13:26:34	16	9	16	4	29	8	4	4	0	0	16	0	0	0	0	0	0
status	post_user_514130915309733	514130915309733_366656207006321	https://www.facebook.com/514130915309733/posts/366656207006321	NOI SIAMO IL PD PER IL NO ALLA RIFORMA COSTITUZIONALE https://www.facebook.com/groups/267493543640005/					2016-11-11T21:17:44+0000	1478899064	2016-11-11 22:17:44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_page_514130915309733	514130915309733_1242127339176750	https://www.facebook.com/514130915309733/posts/1242127339176750	Dai che arriviamo a 2000					2016-11-11T21:13:09+0000	1478898789	2016-11-11 22:13:09	33	1	33	0	34	1	1	0	2	0	33	0	0	0	0	0	0
status	post_user_514130915309733	514130915309733_1240581482664669	https://www.facebook.com/514130915309733/posts/1240581482664669	ao ma chi l ha pagato lo spot che m è apparso su youtube regà? per curiosità					2016-11-10T08:08:16+0000	1478765296	2016-11-10 09:08:16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
