type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_946969685378921	946969685378921_1133060630103158	https://www.facebook.com/946969685378921/posts/1133060630103158	Donne e Riforme Costituzionali. Parte 4	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/15132109_1133073320101889_415122298694008832_n.jpg?oh=cb36db0c993c2a25bc2c3040e9d91cbe&oe=58D50A16	https://scontent.xx.fbcdn.net/v/t15.0-10/15132109_1133073320101889_415122298694008832_n.jpg?oh=ed909999144e0dead0ed394c556b01fd&oe=58D41AE8	https://www.facebook.com/laretedeisi/videos/1133060630103158/	facebook.com	2016-11-17T15:43:59+0000	1479397439	2016-11-17 16:43:59	5	0	5	2	7	0	0	0	0	0	5	0	0	0	0	0	0
video	post_page_946969685378921	946969685378921_1133014206774467	https://www.facebook.com/946969685378921/posts/1133014206774467	Donne e Riforme Costituzionali. Parte 3	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/14992468_1133064430102778_6712836255022841856_n.jpg?oh=3238f6870f7bf2b4991504dbc5565c98&oe=58C9792C	https://scontent.xx.fbcdn.net/v/t15.0-10/14992468_1133064430102778_6712836255022841856_n.jpg?oh=311b46398eb52d3c4fe5dcd17979c8da&oe=58C70287	https://www.facebook.com/laretedeisi/videos/1133014206774467/	facebook.com	2016-11-17T14:58:50+0000	1479394730	2016-11-17 15:58:50	6	0	6	1	7	0	0	0	0	0	6	0	0	0	0	0	0
video	post_page_946969685378921	946969685378921_1133006743441880	https://www.facebook.com/946969685378921/posts/1133006743441880	Le Donne e Riforme Costituzionali. Parte 2	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/14926483_1133014723441082_5493874298185580544_n.jpg?oh=18bd63a851a918edca912a1fb4d7a8a2&oe=58BB0290	https://scontent.xx.fbcdn.net/v/t15.0-10/14926483_1133014723441082_5493874298185580544_n.jpg?oh=39dbc4998592cfcbe9fd42977e718eb9&oe=58CFF93B	https://www.facebook.com/laretedeisi/videos/1133006743441880/	facebook.com	2016-11-17T14:46:05+0000	1479393965	2016-11-17 15:46:05	3	0	3	1	4	0	0	0	0	0	3	0	0	0	0	0	0
video	post_page_946969685378921	946969685378921_1132994610109760	https://www.facebook.com/946969685378921/posts/1132994610109760	Donne e Riforme Costituzionali	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/15065363_1133009336774954_4577641900026101760_n.jpg?oh=e08bf66a95df59283460c05a94af180a&oe=58D20622	https://scontent.xx.fbcdn.net/v/t15.0-10/15065363_1133009336774954_4577641900026101760_n.jpg?oh=6dc08c6db6ff2c66df8988fcab6568b9&oe=58BF3789	https://www.facebook.com/laretedeisi/videos/1132994610109760/	facebook.com	2016-11-17T14:24:09+0000	1479392649	2016-11-17 15:24:09	4	0	4	3	7	0	0	0	0	0	4	0	0	0	0	0	0
status	post_page_946969685378921	946969685378921_1132992176776670	https://www.facebook.com/946969685378921/posts/1132992176776670	Fra poco in diretta da via degli Uffici del Vicario 30 per  Donne e Riforme Costituzionali 					2016-11-17T14:19:47+0000	1479392387	2016-11-17 15:19:47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
video	post_page_946969685378921	946969685378921_1132325063510048	https://www.facebook.com/946969685378921/posts/1132325063510048	La Rete dei Si a Palestrina	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/15065498_1132377646838123_325548419273719808_n.jpg?oh=27da50f25e3474fe16742c3cb907cd68&oe=58D0413A	https://scontent.xx.fbcdn.net/v/t15.0-10/15065498_1132377646838123_325548419273719808_n.jpg?oh=c45392ffd9295e56e295bd53760d403c&oe=588C9BC4	https://www.facebook.com/laretedeisi/videos/1132325063510048/	facebook.com	2016-11-16T18:25:15+0000	1479320715	2016-11-16 19:25:15	8	1	8	7	16	1	1	0	1	0	8	0	0	0	0	0	0
photo	post_page_946969685378921	946969685378921_1132223053520249	https://www.facebook.com/946969685378921/posts/1132223053520249	Il prossimo 25 novembre alle ore 17.00 a Pomezia un evento sul Referendum moderato dal nostro coordinatore Massimo De Meo.  Vi aspettiamo!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/15032039_1132223053520249_1453606043157429429_n.jpg?oh=ac3f9be9236518bd67ecbc973beb5366&oe=58B9B92C	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15032039_1132223053520249_1453606043157429429_n.jpg?oh=728cb2a93cc9319e8c7d3a0b9ede5824&oe=588E1339	https://www.facebook.com/laretedeisi/photos/a.947077262034830.1073741828.946969685378921/1132223053520249/?type=3	facebook.com	2016-11-16T15:48:03+0000	1479311283	2016-11-16 16:48:03	6	1	6	1	8	0	0	0	0	0	6	0	0	0	0	0	0
link	post_page_946969685378921	946969685378921_1132150203527534	https://www.facebook.com/946969685378921/posts/1132150203527534	Massimo De Meo in diretta su Radio Roma Capitale. Qui per ascoltare lo streaming  http://radioromacapitale.radio12345.com/			http://radioromacapitale.radio12345.com/	radioromacapitale.radio12345.com	2016-11-16T13:39:27+0000	1479303567	2016-11-16 14:39:27	1	0	1	2	3	0	0	0	0	0	1	0	0	0	0	0	0
status	post_page_946969685378921	946969685378921_1126286800780541	https://www.facebook.com/946969685378921/posts/1126286800780541	Oggi i magistrati hanno confermato che erano giuste le considerazioni che per primi avevamo fatto sullo spacchettamento del referendum costituzionale e sulla presunta illegittimità del quesito.  Il Tribunale di Milano ha respinto il ricorso di Onida che prefigurava l incostituzionalità della legge 352/1970 che non permette di indire più referendum sulla stessa legge di revisione costituzionale. Analogamente il Consiglio di Stato ha bocciato la richiesta di sospensiva della consultazione per la presunta illegittimità del quesito.  Non ci sono più ostacoli giuridici alla celebrazione del Referendum Costituzionale il quattro dicembre.  Abbiamo sempre ribadito che lo spacchettamento era un argomento sbagliato che lede e non migliora le garanzie democratiche. In una legge di revisione costituzionale è il legislatore  il Parlamento  che misura pesi e contrappesi. È il suo ruolo  che necessita di conoscenze giuridiche solide. La Costituzione prevede che i cittadini siano chiamati ad avallare o meno le scelte del Parlamento in tema di revisione se questo non si esprime con maggioranze larghissime. Ma si tratta di un avallo complessivo  che non può consentire di creare riforme zoppe con una revisione à la carte.  Anche sul tema del quesito abbiamo sempre detto che la legge è chiara sul punto e che è il Parlamento che vota i titoli delle leggi di revisione costituzionale. Era in sede parlamentare che andava  se si voleva  una battaglia sul titolo della riforma. Questa battaglia non è stata fatta. Ma le regole vanno rispettate sempre  anche quando non sembrano esserci favorevoli.   http://www.repubblica.it/politica/2016/11/10/news/referendum_respinto_il_ricorso_di_onida-151731185/?ref=HREA-1					2016-11-10T13:22:57+0000	1478784177	2016-11-10 14:22:57	2	0	2	4	6	0	0	0	0	0	2	0	0	0	0	0	0
photo	post_page_946969685378921	946969685378921_1124531367622751	https://www.facebook.com/946969685378921/posts/1124531367622751	Il 17 novembre parliamo di donne e #riformacostituzionale a Roma. L ingresso è libero previa iscrizione come da programma allegato.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14947658_1124531367622751_449736536567862240_n.jpg?oh=3d2120533ed9c037161da19599d1365e&oe=5886B230	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14947658_1124531367622751_449736536567862240_n.jpg?oh=4bd7ceaf6203d9fc7a74bfb1f8ad3bf8&oe=58BF9FCF	https://www.facebook.com/laretedeisi/photos/a.947077262034830.1073741828.946969685378921/1124531367622751/?type=3	facebook.com	2016-11-08T17:48:47+0000	1478627327	2016-11-08 18:48:47	6	1	6	14	21	1	1	0	0	0	6	0	0	0	0	0	0
