country	count (lifetime until 2016-11-16T08:00:00+0000)
NO	1
DE	11
PT	2
UA	1
FR	2
HU	2
SE	2
MA	1
DZ	1
GB	3
US	2
IL	1
AE	1
CH	4
KR	1
IQ	1
IR	1
MX	1
IT	846
ES	1
AR	1
AU	1
CZ	1
TN	1
RO	1
NL	2
