type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
status	post_user_819483748183237	819483748183237_940026922795585	https://www.facebook.com/819483748183237/posts/940026922795585	Renzi: “Decideranno i cittadini se vanno bene o no le riforme”  “Questo governo è nato per fare le riforme costituzionali  le abbiamo fatte e  decideranno i cittadini se vanno bene o no   nostro compito era anche portare a casa la ripartenza che                            va ancora piano ma è molto più forte di prima”: lo dice                             il premier Matteo Renzi nella conferenza stampa per i                              1000 giorni di governo.   “Credo che sia fisiologico che davanti ad una possibile novità politica ci sia una fibrillazione maggiore dei mercati  personalmente reputo ovvio l assioma riforme-pil su e al contrario che lo spread salga se non si fanno: detto questo però chiarisco che il compito  di chi sostiene il Sì non è usare la carta della paura ma cercare                  di riempire di motivazioni le ragioni del Sì  Bankitalia poi fa il suo mestiere”.  “Tutti i sondaggi danno il No al referendum in testa: si potrebbe buttarla sul ridere  dal momento che nel 2016 non ne hanno azzeccato una sola  non è che devono iniziare questa volta                       ma vedo la partita referendaria totalmente aperta in ragione                   degli indecisi e le buone ragioni che ci spingono a lottare per                        il Sì sono più forti che mai  sono convinto che la maggioranza silenziosa degli italiani sappia scegliere sulla base del quesito                   poi potranno scegliere Sì o No”.  “Se vince il No cosa accadrà al governo lo scopriremo solo vivendo....seriamente io penso che questo referendum possa segnare davvero il cambiamento  questo governo è nato per cambiare e fare le riforme  ove i cittadini bocciassero le riforme  verificheremo la situazione politica”.  “Si vince (secondo le mie previsioni) con il 60 per cento di affluenza  con 15 mln di voti per il Sì o per il No  quindi è fondamentale portare tanta gente a votare”: e  la previsione                        di Matteo Renzi a  Otto e mezzo  sull affluenza al referendum.   “Chi fa il premier deve sperare che chi viene dopo farà meglio  certo io non sono   nato per fare un governo tecnico  il governicchio: se si cambia e si continua ci sono  se si torna                        alla grande accozzaglia che è la base politica del No (che sono sempre i soliti politici) se vogliono galleggiare  che gestiscano                     loro il paese: io non sono capace a fare inciuci e accordicchi”.					2016-11-18T22:43:00+0000	1479508980	2016-11-18 23:43:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_819483748183237	819483748183237_940017286129882	https://www.facebook.com/819483748183237/posts/940017286129882	Ok per il trasporto pubblico   non Ok per fare le leggi.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14980745_10211320109501489_2534361823994415844_n.jpg?oh=14b6566d5ec62349d826080d47ed6e56&oe=58BDE4ED	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/14980745_10211320109501489_2534361823994415844_n.jpg?oh=506410f840369a155e9d88b6dfbff888&oe=588E2699	https://www.facebook.com/photo.php?fbid=10211320109501489&set=gm.940017286129882&type=3	facebook.com	2016-11-18T22:11:08+0000	1479507068	2016-11-18 23:11:08	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
video	post_user_819483748183237	819483748183237_940011266130484	https://www.facebook.com/819483748183237/posts/940011266130484	Divertente ed efficace.	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14992418_1617572221881375_7938522820680613888_n.jpg?oh=8e3e6cf91816fc4f2949d18bf8663d44&oe=58C843BA	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14992418_1617572221881375_7938522820680613888_n.jpg?oh=96aa851e07dd02bdb53def4369b22299&oe=58D32C98	https://www.facebook.com/bastaunsi/videos/1617631085208822/	facebook.com	2016-11-18T21:51:18+0000	1479505878	2016-11-18 22:51:18	4	0	5	4	9	0	0	0	0	0	4	1	0	0	0	0	0
photo	post_user_819483748183237	819483748183237_939903442807933	https://www.facebook.com/819483748183237/posts/939903442807933	Volendo stare ai sondaggi atuali il NO è al 52% e il SI al 48% senza valutare l astensionismo e altri fattori non trascurabili come gli indecisi  ancora da recuperare.....Noi siamo al 48%  il PD oscilla fra il 40 e il 41% insieme al Governo.......La vedo nera anche dopo per quelli del NO e la gente non l ha capito!!!!!!!!!!!!.......L Italia mi preoccupa perchè con i falliti e i trombati che intravedono la loro rivincita c è poco da sta tranquilli!!!!!!!!!!!....IL NO è frastagliato in tanti partitini disomogenei per ideologia e interessi  tutti contro un nemico comune che ha messo in discussione la loro sopravvivenza e dei loro nciuci perdi tempo.....Secondo voi le prossime elezioni come andranno?......Frattanto ci ritroveremo con la Nazione in balia degli speculatori e di nuovo in crisi economica  ma gli altri avranno salvato il loro  orticello !!!!!!!!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/15073405_10207749208152719_4014974396710708281_n.jpg?oh=c1ca959ee4f51ac494234b6d655d9b9e&oe=5889DD37	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15073405_10207749208152719_4014974396710708281_n.jpg?oh=d857a44361402bd4025f7cc081843f86&oe=58B72B3A	https://www.facebook.com/photo.php?fbid=10207749208152719&set=gm.939903442807933&type=3	facebook.com	2016-11-18T17:42:59+0000	1479490979	2016-11-18 18:42:59	8	10	12	3	25	10	9	1	6	0	8	0	1	2	0	1	0
video	post_user_819483748183237	819483748183237_939367562861521	https://www.facebook.com/819483748183237/posts/939367562861521	Andrea Pizzo shared Basta un SÌ per cambiare l Italia s video to the group: REFERENDUM COSTITUZIONALE: - IO VOTO  SI -.	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/15131882_1170989836302378_1135190384960339968_n.jpg?oh=73109f66bc60774889d36d7af7135923&oe=58C3DD6C	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/15131882_1170989836302378_1135190384960339968_n.jpg?oh=9ec1a8e5ad435e1d57102e3e08d090e6&oe=58C7804E	https://www.facebook.com/BastaUnSiPerCambiare/videos/1170989356302426/	facebook.com	2016-11-17T20:51:34+0000	1479415894	2016-11-17 21:51:34	8	8	13	3	24	8	6	2	5	0	8	0	0	3	1	1	0
photo	post_user_819483748183237	819483748183237_939999416131669	https://www.facebook.com/819483748183237/posts/939999416131669	Il sondaggio GPF omette  come quasi tutti gli altri sondaggi  la verità  in quanto  il calcolo  per essere corretto  va espresso in termini percentuali assoluti. ll risultato reale vedrebbe il No in vantaggio di 10 punti percentuali sul Sì (100:57 6X37 3=55 2% vs. 100:57 6X30 3=44 8%). In questo caso  il Partito della Nazione può contare sicuramente su 7.488.000 voti  pari ad 1/7 dell elettorato avente diritto di voto ed a quasi 1/9 della popolazione generale.	https://scontent.xx.fbcdn.net/v/t1.0-0/q82/s130x130/15079098_655762434588698_9219845103092659865_n.jpg?oh=8d4a97a2f3296c7b9d7edd3f39d26660&oe=58B8206D	https://scontent.xx.fbcdn.net/t31.0-8/q84/s720x720/15025185_655762434588698_9219845103092659865_o.jpg	https://www.facebook.com/IlPartitoComunistaItalianoAdelfiaBari/photos/a.629618980536377.1073741828.629401330558142/655762434588698/?type=3	facebook.com	2016-11-18T21:25:23+0000	1479504323	2016-11-18 22:25:23	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
status	post_user_819483748183237	819483748183237_939650859499858	https://www.facebook.com/819483748183237/posts/939650859499858	Tutti gli ultimi sondaggi dicono che il SI vince al Nord e al Centro Nord...mentre al Sud e Centro Sud vince nettamente il NO... Anche le varie Mafie votano NO  affinché tutto resti come è  e nulla cambi.  Vi ricordo che nei grandi Referendum  al Sud la Monarchia vinse  ma poi la Repubblica trionfò  e lo stesso successe per il Referendum sul Divorzio. Che sia di buon auspicio??					2016-11-18T09:26:22+0000	1479461182	2016-11-18 10:26:22	17	9	21	10	40	9	6	3	10	0	17	0	0	0	2	2	0
status	post_user_819483748183237	819483748183237_939959706135640	https://www.facebook.com/819483748183237/posts/939959706135640	L occasione è unica per fare le riforme attese da 20 anni o più.  Non saranno perfette ma sono un passo avanti   anzi un grandissimo salto avanti. Il paese ne ha estremo bisogno.					2016-11-18T19:45:17+0000	1479498317	2016-11-18 20:45:17	7	0	7	2	9	0	0	0	0	0	7	0	0	0	0	0	0
status	post_user_819483748183237	819483748183237_939718632826414	https://www.facebook.com/819483748183237/posts/939718632826414	Ma se vincesse il No  cosa ne pensate di un governo tra FORZA ITALIA- LEGA E M5S?               UNO SCHIFO					2016-11-18T11:55:47+0000	1479470147	2016-11-18 12:55:47	10	15	14	3	32	15	11	4	8	0	10	0	0	0	0	4	0
link	post_user_819483748183237	819483748183237_939912346140376	https://www.facebook.com/819483748183237/posts/939912346140376	Sì o No? Questo mio post non è rivolto a chi hauna visione politica di questo referendum ma a chi vuole approfondirne i contenuti. Spero possa essere utile soprattutto a chi nel frastuono dei media sta cercando di farsi un idea.  	https://external.xx.fbcdn.net/safe_image.php?d=AQCHcl5ZhhI0zR5P&w=130&h=130&url=http%3A%2F%2Fi0.wp.com%2Fwww.gianluigidangelo.it%2Fwp-content%2Fuploads%2F2016%2F11%2Freferendumquesito.jpg%3Ffit%3D1022%252C421&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQB9Uf3IqqxGLnXo&url=http%3A%2F%2Fi0.wp.com%2Fwww.gianluigidangelo.it%2Fwp-content%2Fuploads%2F2016%2F11%2Freferendumquesito.jpg%3Ffit%3D1022%252C421	http://www.gianluigidangelo.it/si-o-no-oltre-glislogan-elettorali-tutto-quello-che-dobbiamo-sapere-di-questa-riforma-costituzionale/	gianluigidangelo.it	2016-11-18T18:08:38+0000	1479492518	2016-11-18 19:08:38	4	1	4	1	6	1	1	0	1	0	4	0	0	0	0	0	0
