type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_user_1694651967440454	1694651967440454_1805447866360863	https://www.facebook.com/1694651967440454/posts/1805447866360863	Ferdinando Persona shared AgoraVox Italia s post to the group: Referendum Costituzionale.	https://external.xx.fbcdn.net/safe_image.php?d=AQBwZLJEjMplY4CA&w=130&h=130&url=http%3A%2F%2Fwww.agoravox.it%2Flocal%2Fcache-vignettes%2FL600xH386%2Farton73692-da693.png&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQAcEEFcZLuVs4wK&url=http%3A%2F%2Fwww.agoravox.it%2Flocal%2Fcache-vignettes%2FL600xH386%2Farton73692-da693.png	http://www.agoravox.it/Tra-riforma-costituzionale-e-legge.html	agoravox.it	2016-11-18T14:42:19+0000	1479480139	2016-11-18 15:42:19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_1694651967440454	1694651967440454_1805359179703065	https://www.facebook.com/1694651967440454/posts/1805359179703065						2016-11-18T09:38:26+0000	1479461906	2016-11-18 10:38:26	0	6	0	0	6	6	6	0	2	0	0	0	0	0	0	0	0
link	post_user_1694651967440454	1694651967440454_1805433366362313	https://www.facebook.com/1694651967440454/posts/1805433366362313	Matilde Esse shared Napoli.ZON s post to the group: Referendum Costituzionale.	https://external.xx.fbcdn.net/safe_image.php?d=AQCBq4NpLcqcOHFM&w=130&h=130&url=http%3A%2F%2Fnapoli.zon.it%2Fwp-content%2Fuploads%2F2015%2F10%2Fo-VINCENZO-DE-LUCA-LEGGE-SEVERINO-facebook.jpg&cfs=1&sx=1000&sy=0&sw=1000&sh=1000	https://external.xx.fbcdn.net/safe_image.php?d=AQB8Q89KgKnD0uM5&url=http%3A%2F%2Fnapoli.zon.it%2Fwp-content%2Fuploads%2F2015%2F10%2Fo-VINCENZO-DE-LUCA-LEGGE-SEVERINO-facebook.jpg	http://napoli.zon.it/de-luca-bindi-polemica/	napoli.zon.it	2016-11-18T14:04:55+0000	1479477895	2016-11-18 15:04:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
link	post_user_1694651967440454	1694651967440454_1805431079695875	https://www.facebook.com/1694651967440454/posts/1805431079695875	E ora vogliamo la verità e fino in fondo e non me ne frega un cazzo del referendum  voglio solo vedere se questi incompetenti ignoranti webeti bufalari siano beceri fino a questo punto  perché se fosse provato preparatevi non solo a perdere il referendum ma ogni volta che parlerà in pubblico un pentastellato vi tireremo la merda in faccia...FALSI FALSI FALSI	https://external.xx.fbcdn.net/safe_image.php?d=AQCZ0lkQ4QkB-CQP&w=130&h=130&url=http%3A%2F%2Fwww.lastampa.it%2Frw%2FPub%2Fp4%2F2016%2F11%2F09%2FItalia%2FFoto%2F1252c30a0de7f918dbc719c287afc317-16147-16046.jpg&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQCuO4h34HPq-KyW&url=http%3A%2F%2Fwww.lastampa.it%2Frw%2FPub%2Fp4%2F2016%2F11%2F09%2FItalia%2FFoto%2F1252c30a0de7f918dbc719c287afc317-16147-16046.jpg	http://www.lastampa.it/2016/11/18/italia/politica/firme-false-grillini-indagati-la-deputata-regionale-la-rocca-si-sospende-53EZC6MnOpuJoR6gISIffK/pagina.html	lastampa.it	2016-11-18T14:02:22+0000	1479477742	2016-11-18 15:02:22	4	0	5	5	10	0	0	0	0	0	4	0	1	0	0	0	0
video	post_user_1694651967440454	1694651967440454_1805349396370710	https://www.facebook.com/1694651967440454/posts/1805349396370710	Dario Andreoli shared Andrea Zoe s post to the group: Referendum Costituzionale.	https://external.xx.fbcdn.net/safe_image.php?d=AQDCMzdRQg2gCNnf&w=130&h=130&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FmmTZeSXacP4%2Fhqdefault.jpg&cfs=1&sx=74&sy=0&sw=360&sh=360	https://external.xx.fbcdn.net/safe_image.php?d=AQBEj1BAoGzZ2PfH&w=360&h=360&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FmmTZeSXacP4%2Fhqdefault.jpg&cfs=1&sx=74&sy=0&sw=360&sh=360	https://www.youtube.com/attribution_link?a=H3bdfozfeYc&u=%2Fwatch%3Fv%3DmmTZeSXacP4%26feature%3Dshare	youtube.com	2016-11-18T08:54:51+0000	1479459291	2016-11-18 09:54:51	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
link	post_user_1694651967440454	1694651967440454_1805419766363673	https://www.facebook.com/1694651967440454/posts/1805419766363673	Il partito autonomo Svp si schiera  x il SÌ...quindi non è vero che  la riforma tocca le regioni a statuto speciale.  Quindi smentiamo Fugatti Maurizio... Vedi qui https://m.facebook.com/story.php?story_fbid=942514055880555&id=622003471264950	https://external.xx.fbcdn.net/safe_image.php?d=AQB0DYihp-Nsk_kr&w=130&h=130&url=http%3A%2F%2Fwww.ansa.it%2Fwebimages%2Fimg_700%2F2014%2F4%2F14%2F93ddff84790a4ab2b1f9226f964c57c7.jpg&cfs=1&sx=0&sy=6&sw=572&sh=572	https://external.xx.fbcdn.net/safe_image.php?d=AQBkYLH4MNyr7c1D&url=http%3A%2F%2Fwww.ansa.it%2Fwebimages%2Fimg_700%2F2014%2F4%2F14%2F93ddff84790a4ab2b1f9226f964c57c7.jpg	http://www.ansa.it/trentino/notizie/2016/11/07/referendum-svp-si-schiera-per-il-si_73755b1c-29f4-484d-9a23-7d7764b2e969.html	ansa.it	2016-11-18T13:35:39+0000	1479476139	2016-11-18 14:35:39	2	0	2	1	3	0	0	0	0	0	2	0	0	0	0	0	0
status	post_user_1694651967440454	1694651967440454_1805370513035265	https://www.facebook.com/1694651967440454/posts/1805370513035265	#sibilia #webete #m5s #grillo #ballini (mano a manocche si va avanti verso il 4 i toni si alzano) Se puoi fai la querela...ma tanto ha l immunità...non arrivi a nulla però puoi metterlo alla berlina come stai facendo...leggo di questo tizio ogni tanto e qualche volta l ho sentito parlare...direi una persona di un livello intellettivo meno di un orango...Salvini al confronto sembra laureato a Berkley					2016-11-18T10:32:46+0000	1479465166	2016-11-18 11:32:46	5	2	7	0	9	2	2	0	3	0	5	0	1	0	0	1	0
link	post_user_1694651967440454	1694651967440454_1805408653031451	https://www.facebook.com/1694651967440454/posts/1805408653031451	ONESTA  ONESTA  ONESTA  !	https://external.xx.fbcdn.net/safe_image.php?d=AQBhp85bdcK0syAg&w=130&h=130&url=http%3A%2F%2Fwww.repstatic.it%2Fcontent%2Flocalirep%2Fimg%2Frep-palermo%2F2016%2F11%2F18%2F124234493-909d8c7e-dc6c-46f6-a448-d6af1b432f07.jpg&cfs=1&sx=187&sy=0&sw=315&sh=315	https://external.xx.fbcdn.net/safe_image.php?d=AQC_LPbg_47xkNS8&url=http%3A%2F%2Fwww.repstatic.it%2Fcontent%2Flocalirep%2Fimg%2Frep-palermo%2F2016%2F11%2F18%2F124234493-909d8c7e-dc6c-46f6-a448-d6af1b432f07.jpg	http://palermo.repubblica.it/politica/2016/11/18/news/firme_false_nelle_liste_m5s_gli_indagati_sono_almeno_otto_si_sospende_la_deputata_regionale_che_ha_confessato-152264400/	palermo.repubblica.it	2016-11-18T12:56:46+0000	1479473806	2016-11-18 13:56:46	3	0	3	2	5	0	0	0	0	0	3	0	0	0	0	0	0
status	post_user_1694651967440454	1694651967440454_1805400119698971	https://www.facebook.com/1694651967440454/posts/1805400119698971						2016-11-18T12:26:22+0000	1479471982	2016-11-18 13:26:22	3	1	3	0	4	1	1	0	1	0	3	0	0	0	0	0	0
link	post_user_1694651967440454	1694651967440454_1805404826365167	https://www.facebook.com/1694651967440454/posts/1805404826365167	http://blog.soldionline.it/cosamuoveimercati/referendum-costituzionale-si-no/	https://external.xx.fbcdn.net/safe_image.php?d=AQCGq3hTPZ8wp7ib&w=130&h=130&url=http%3A%2F%2Fblog.soldionline.it%2Fcosamuoveimercati%2Fwp-content%2Fuploads%2F2016%2F11%2Freferendum.jpg&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQAew0IorUyTSoRh&url=http%3A%2F%2Fblog.soldionline.it%2Fcosamuoveimercati%2Fwp-content%2Fuploads%2F2016%2F11%2Freferendum.jpg	http://blog.soldionline.it/cosamuoveimercati/referendum-costituzionale-si-no/	blog.soldionline.it	2016-11-18T12:45:50+0000	1479473150	2016-11-18 13:45:50	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
link	post_user_1694651967440454	1694651967440454_1805397153032601	https://www.facebook.com/1694651967440454/posts/1805397153032601	http://m.huffpost.com/it/entry/13069922	https://external.xx.fbcdn.net/safe_image.php?d=AQAlMX-9V6_zyZ2L&w=130&h=130&url=http%3A%2F%2Fi.huffpost.com%2Fgen%2F4868216%2Fimages%2Fo-PIAZZA-AFFARI-facebook.jpg&cfs=1&sx=789&sy=0&sw=1000&sh=1000	https://external.xx.fbcdn.net/safe_image.php?d=AQC-zyHDKXGjHNNq&url=http%3A%2F%2Fi.huffpost.com%2Fgen%2F4868216%2Fimages%2Fo-PIAZZA-AFFARI-facebook.jpg	http://m.huffpost.com/it/entry/13069922	m.huffpost.com	2016-11-18T12:14:59+0000	1479471299	2016-11-18 13:14:59	3	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0
link	post_user_1694651967440454	1694651967440454_1805394286366221	https://www.facebook.com/1694651967440454/posts/1805394286366221	Ciao tutti  per aiutare a votare al referendum del 4 dicembre ho creato questa pagina web con il testo della riforma e il testo vigente. C è anche la possibilità di commentare parti di testo e discuterle con gli altri utenti  ciao	https://external.xx.fbcdn.net/safe_image.php?d=AQCd6DkccHk-ufR0&w=130&h=130&url=http%3A%2F%2Fthepund.it%2Freferendum2016%2Fimg%2Fpundit-referendum.jpg&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQDQXUfXcm8vcNbU&url=http%3A%2F%2Fthepund.it%2Freferendum2016%2Fimg%2Fpundit-referendum.jpg	http://thepund.it/referendum2016/	thepund.it	2016-11-18T12:03:25+0000	1479470605	2016-11-18 13:03:25	6	0	6	1	7	0	0	0	0	0	6	0	0	0	0	0	0
photo	post_user_1694651967440454	1694651967440454_1805391483033168	https://www.facebook.com/1694651967440454/posts/1805391483033168	TERREMOTO A NORCIA: L AMICO SINDACO CHIEDE A TUTTI UN AIUTO !  Ho avuto stamani un contatto telefonico con il dott. Nicola ALEMANNO Sindaco di Norcia centro umbro gravemente danneggiato dal recente terremoto.  Chiunque avesse desiderio di donare del denaro è invitarlo a farlo magari direttamente sul conto corrente del Comune in modo che possa essere subito utilizzato per le prime necessità. Grazie  fate girare !   Per effettuare donazioni al Comune di Norcia:	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/15037309_334675506890298_2894709415384784307_n.jpg?oh=3ab5593c046d304b5f0fb884d24a856a&oe=58C1139A	https://scontent.xx.fbcdn.net/v/t1.0-9/15037309_334675506890298_2894709415384784307_n.jpg?oh=8c514abba9b81f3fc7e5fe219bec7224&oe=58CE5C07	https://www.facebook.com/photo.php?fbid=334675506890298&set=gm.1805391483033168&type=3	facebook.com	2016-11-18T11:54:25+0000	1479470065	2016-11-18 12:54:25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_1694651967440454	1694651967440454_1805390163033300	https://www.facebook.com/1694651967440454/posts/1805390163033300						2016-11-18T11:50:50+0000	1479469850	2016-11-18 12:50:50	4	0	4	0	4	0	0	0	0	0	4	0	0	0	0	0	0
status	post_user_1694651967440454	1694651967440454_1805356656369984	https://www.facebook.com/1694651967440454/posts/1805356656369984	Tutti gli ultimi sondaggi dicono che il SI vince al Nord e al Centro Nord...mentre al Sud e Centro Sud vince nettamente il NO... Anche le varie Mafie votano NO  affinché tutto resti come è  e nulla cambi.  Vi ricordo che nei grandi Referendum  al Sud la Monarchia vinse  ma poi la Repubblica trionfò  e lo stesso successe per il Referendum sul Divorzio. Che sia di buon auspicio??					2016-11-18T09:26:34+0000	1479461194	2016-11-18 10:26:34	9	2	9	1	12	2	2	0	1	0	9	0	0	0	0	0	0
link	post_user_1694651967440454	1694651967440454_1805375186368131	https://www.facebook.com/1694651967440454/posts/1805375186368131	ricondivido con voi il mio pensiero	https://external.xx.fbcdn.net/safe_image.php?d=AQB10_IfnXYsmnUw&w=130&h=130&url=https%3A%2F%2Fimage.jimcdn.com%2Fapp%2Fcms%2Fimage%2Ftransf%2Fdimension%3D818x10000%3Aformat%3Djpg%2Fpath%2Fs5b7f28d9604bee55%2Fimage%2Fi0f2f3fec2cfd789f%2Fversion%2F1476437096%2Fimage.jpg&cfs=1	https://external.xx.fbcdn.net/safe_image.php?d=AQAsK3vyzRK_eNVk&url=https%3A%2F%2Fimage.jimcdn.com%2Fapp%2Fcms%2Fimage%2Ftransf%2Fdimension%3D818x10000%3Aformat%3Djpg%2Fpath%2Fs5b7f28d9604bee55%2Fimage%2Fi0f2f3fec2cfd789f%2Fversion%2F1476437096%2Fimage.jpg	http://questionidiattualita.jimdo.com/	questionidiattualita.jimdo.com	2016-11-18T10:52:14+0000	1479466334	2016-11-18 11:52:14	4	0	4	0	4	0	0	0	0	0	4	0	0	0	0	0	0
